address, balance, GLTO
juno1hmx5xqzagk0pyy8wgyqt7qpud5366kn4940f3n, 7.627581, 10946.91647
juno1vk6z2aa4hwf5kkd07248q8sm5xqzdduekrupq4, 3.305138, 10946.91647
juno1p2lzez8xgur2c64hrh80et32jv26fa2lwgcqa0, 1.000000, 10946.91647
juno1jwwgxfy6vjaf59qujhx5ektjm48escp9vcxtxk, 0.800000, 10946.91647
juno15za52gpsylpy3r6hmhujlx05uy0fjmld9v8et7, 1.000006, 10946.91647
juno1afhtjur8js4589xymu346ca7a5y5293xpuv6ry, 1.000000, 10946.91647
juno10vxufrnag7ex7euzjrr4c82qf7pjg8mc5a775n, 11.000000, 10946.91647
juno1pdevjzy2phz8guvluqhdh20hl7a6c25scp42fu, 1.000000, 10946.91647
juno19gk75r4pd0e6hzz60nqgg3nps5xh980n6uf0v7, 3.237258, 10946.91647
juno18u5swhd57hpwh0cxgxrcs9p9w6j2qwth32n8a5, 1.200000, 10946.91647
juno1vf44d85es37hwl9f4h9gv0e064m0lla6u5j3ha, 0.500000, 10946.91647
juno1yelaw8rk7ymt98lww4e4galqvg8yfux2tmkhrt, 21.270432, 10946.91647
juno17shdxaetsm9aak5j8le77dtrlxy356k0729rfp, 1.006238, 10946.91647
juno1zqesjfaf2yhxetjl9wx0zg3l4zfz6236zx96an, 0.750500, 10946.91647
juno1ps6f67034fp22nqpvkur5pry039nfjpu65dkwr, 3.501864, 10946.91647
juno14ek40zsa6252nu8tgzznwkpcck8ru6css0c4ac, 1.387881, 10946.91647
juno1ef87hnj60ku08k7tfd6xsxe2cgg0ayaeq4qjqn, 1.429418, 10946.91647
juno1vgxzsyavpgcs4klgdlj0gf4d8x8c8jly2lptwy, 1.000000, 10946.91647
juno1njwm0jp822aqfk6m727dw3w7ntqrrj79jsvhnp, 0.500775, 10946.91647
juno1txexpwxh4m5r93e3lvfp4mx0j2lysz5rtp4u7q, 1.043642, 10946.91647
juno138shr4vjlalwy7260q2ta30lrfyzlmk8dz84fg, 2.159797, 10946.91647
