JUNO Address	JUNO GLTO Amount	OSMO Address	OSMO GLTO Amount	GLTO Total Amount
juno15lcej2y0srcr9jr3gw8mur4ruj7trvkmtz43g6	10,050.54			10,050.54
juno1ek4as5w4tnqas2qqwfvp0fx2qe9tnj4jdrl44s	10,050.33			10,050.33
juno1gy2ne7m62uer4h5s4e7xlfq7aeem5zpw44l3dh	10,050.33			10,050.33
juno1hspkfnzexvn4drk9dlfpg8n0ppw8sxsluq8hu2	10,050.33			10,050.33
juno1ra9563z5tn2lmqhydt2atrgzftk2d7umhvepge	10,050.33			10,050.33
juno1smknl4uf89ef84kg020ff7ask7l0sxz3r2a9y2	10,050.33			10,050.33
juno1tysx23c5s8dg54nfzt7aeue3qfysrccs4vd35l	10,050.26			10,050.26
juno14aas02xp34069h65fy0u7a0pww84hjdcdqjw3w	10,050.00			10,050.00
juno1smy7dry3kpug82c5l8244crhm66uatr3t8ptr5	10,050.00			10,050.00
juno1t3xtqddwvnh3c5ddwwxp9tpschq4zg37ck4cax	10,050.00			10,050.00
juno1vzz3avmm4qd8asll2ph4nzjtgexvnra58flr49	10,050.00			10,050.00
juno14cdr3texg6xcrd6qvvfatpqrsaq3ed3sud052a	0.00	osmo14cdr3texg6xcrd6qvvfatpqrsaq3ed3szyllmn	10,049.00	10,049.00
juno1wh0evrrxrdlph6nl98v9z43555fufy2qcs2tkg	10,032.82	osmo1wh0evrrxrdlph6nl98v9z43555fufy2qxe6q8x	15.00	10,047.82
juno17dlwmry9dvguws9xmk5ppd6srcn07padp93sq8	10,047.00			10,047.00
juno1qc6l0fgxjpft8uwg2fq7wgp5zp6gfaddgc50nx	10,046.85			10,046.85
juno1cpvejnv6ekwjjaqpde2uzd4y0xnpm3u49f25dr	10,000.10	osmo1cpvejnv6ekwjjaqpde2uzd4y0xnpm3u4mq6lud	46.00	10,046.10
juno1v6689fk7tckkpfunz3nx90680p6hsqqqqgvl2t	10,045.08			10,045.08
juno1y3q2qd2s0zj4wmg3shmjdlxsl6kqn3umjtcdl2	10,045.02			10,045.02
juno1gvmu6g8ey6xv0eflm9lhff3ch5juz3jmzpmnr8	0.00	osmo1gvmu6g8ey6xv0eflm9lhff3ch5juz3jmugtcjf	10,045.00	10,045.00
juno1vuypyrjq2vymnedvwfc2rlhvx78k9q4a0fxasc	0.00	osmo1vuypyrjq2vymnedvwfc2rlhvx78k9q4a3qkkpk	10,045.00	10,045.00
juno1ezsq8rvwnk7g7en7hd3fuk5avg79jz9vwu3r5v	10,045.00			10,045.00
juno1uu7sv5kw9jx970jqyrh2rfsg7wr7kxzpm920nu	23.00	osmo1uu7sv5kw9jx970jqyrh2rfsg7wr7kxzp9v6yzj	10,021.00	10,044.00
juno16ghf6zufz2gq8ewg5d6nn3aca3f23efp304qn3	10,042.38			10,042.38
juno1ql5d08k8tmhs6mc6pgu6k69tf5e0e6hx9uzevm	10,041.70			10,041.70
juno1ud87wnrt5z59lcu5prhzt4swuk2s94t3hzv65m	10,041.33			10,041.33
juno1ncesahjuytjel7ffpkk2dnhg30ufpapta6lclv	10,040.54			10,040.54
juno1t4j3wj0uuum8ghahscvp4va5et24yxxdu0jcyv	10,040.33			10,040.33
juno15qmq6pftdcev62pzk3qgkk2ltksxhmm9gz9g6z	10,002.00	osmo15qmq6pftdcev62pzk3qgkk2ltksxhmm9kt4rtv	38.00	10,040.00
juno1tff5zpw5nnswjstemvr52krcmryvdhc0hv9kw4	0.00	osmo1tff5zpw5nnswjstemvr52krcmryvdhc0f94alm	10,040.00	10,040.00
juno1pk8rarmyzjxgywgqc663zjtm7rkpv0qqr6xy7c	10,039.48			10,039.48
juno103zlxk62zepp2a4945um8ru7tcygtxrqrhls8v	10,039.45			10,039.45
juno1az2s7l8gvwcp34thleuq959lr0vp6lxgfz88hf	10,038.59			10,038.59
juno14kg6yhz3paht83cc0p8krtlvuvmh2y70wdewda	10,038.10			10,038.10
juno1myffxf9rq2xgmr28mt7j4f5k2heyp39xuypyxn	10,001.00	osmo1myffxf9rq2xgmr28mt7j4f5k2heyp39xzd30ha	37.00	10,038.00
juno1aym3mkd962rhu3zxardp633lpazuujv0pff47f	10,038.00			10,038.00
juno1ypv9h04t20uck5w5d43zvcua0vxlgxf6tlpux8	10,037.68			10,037.68
juno19dx6xr5pqg83f45d43xfsuczvnlk37w8v9zsdu	10,036.01			10,036.01
juno1d89gwjtshjvp60akh63cwxjxy8mhy92rtmja39	10,036.00			10,036.00
juno1mqfwe00nxnhp9y0uyttzaefmx79gkm7acsvpm9	10,035.36			10,035.36
juno1cna2ddd7zcxcv4ssc4ffmsk4zvd4h7qle880nu	10,035.00			10,035.00
juno1v6vhljklwknazn2zyv4pvwjl7njsls6f94fsdl	10,034.96			10,034.96
juno1nnhlu7j6r4e2efuaydyvdmqs5plp963ede0l8g	10,034.66			10,034.66
juno12lxdlysexsvkdhu923272c4nkqkswp7j8867we	10,034.17			10,034.17
juno1v9eup5s52sc0p3hh0kcc5sq24lkhyypwa0q9ge	10,034.01			10,034.01
juno196mpzjyhy90ve2cwx2zp0m0s9eajp4nz2935r5	10,033.83			10,033.83
juno12gnkn36sk0wfnrhsfr74ep8qa68pa4gjvkag5k	10,033.57			10,033.57
juno1pd4qrxxu3pagfhccy7ep2vz29cyuxxftvnnq5x	10,033.36			10,033.36
juno18z7thzwe2cyyp0ltr8r6phrnhtnlkscr42r24r	1.00	osmo18z7thzwe2cyyp0ltr8r6phrnhtnlkscrtrnpyd	10,032.00	10,033.00
juno1jgh68pjsy7nkceyfukw9qhe7el6pkpyh9l827m	10,032.55			10,032.55
juno13ylp03wzgkkluvv3mr8vy3cejxcgwr5n6qmmmr	0.00	osmo13ylp03wzgkkluvv3mr8vy3cejxcgwr5nyfts2d	10,032.00	10,032.00
juno1qnsxa5chxj87mvm9jxqnyr9pdlp324mp8rzamq	10,031.51			10,031.51
juno146l37udxpsph626spp5cdz4fnnttyyqg6n0v72	10,031.00			10,031.00
juno1f6lfrehfsrtj2zz4tyg2n85z49wydle24j7jc7	10,031.00			10,031.00
juno1v3y2evk9vrkxdfnn2gxx96r8zjejyr5z4wjjqr	10,031.00			10,031.00
juno18y2vj9fcm2t43km2v5xys0judjs9ulvtcwg4za	10,030.87			10,030.87
juno1gca7xukpr7twa0dufw4q4vuqt4g26lxd9vfqhf	10,030.63	osmo1gca7xukpr7twa0dufw4q4vuqt4g26lxdm9etx8	0.00	10,030.63
juno1tpy6d7nurymhw0rnhagrzm5gkcesc6sgtg5zp0	0.00	osmo1tpy6d7nurymhw0rnhagrzm5gkcesc6sg4pyfsp	10,030.00	10,030.00
juno1lsjznk8uzm8g90majatgdultt7wtjccmdl0azz	10,027.23			10,027.23
juno1xcymgnpuvgm7tp92qggcju50yj39rmn9aku4la	10,026.87			10,026.87
juno1ffvhvyrntp4l99xqgn2vvly6v4kn2xlhcfvfzr	10,000.82	osmo1ffvhvyrntp4l99xqgn2vvly6v4kn2xlhxquznd	26.00	10,026.82
juno1uz0rms7zfft6r8m7hjfazu00dxj8qhe66qnd4e	10,026.12			10,026.12
juno1k9ng85nlhlc94865c3c0znygr7h3kre5c9l3t9	10,025.29			10,025.29
juno1y2rfrgh374gd40gj0yusjasw2paaysah02vmu9	10,025.22			10,025.22
juno1aqc7dmctszu8mmq29n3mk9g8m5xwes7e6kc8ya	10,025.00			10,025.00
juno1zpewufa0kyrfh37menttyraft3j3vzfypay940	10,024.33			10,024.33
juno19muh5rkgcymd8hhk4qknutw8rxe6zz0xw9m0xr	10,024.00			10,024.00
juno1avvfxwpwmeps3n45nvwktvts4xx0wfdqwh54u3	10,024.00			10,024.00
juno1gq65gjqeyy4alxnnn6y2spc7hjj2mhcj2vqj7c	10,023.69			10,023.69
juno1km7luq0tgalnp9cfgm2rwrgzwgay79gumf5pqr	10,023.43			10,023.43
juno1vl922r47rxu0enggayxqvzuea30qn8kuj43m8s	10,023.05			10,023.05
juno1tf7ls95uvn9gsg22f73ztzjpf9kq7d0vpaffg5	10,023.03			10,023.03
juno1yfp0krnegagkdw5p5h9rq6078l7epljpwqndcx	10,023.00			10,023.00
juno1wx7secesr5gjn24e9nwuvq9ncx5yejl4l734ea	10,022.63			10,022.63
juno1wqcgyl4g9uhq088lxaxjuc2sms5fvmwfvfzmzw	10,021.80			10,021.80
juno1ruq7gddxjz7k2dv77xwr63vjw74zgkfdvg4nd0	10,021.32			10,021.32
juno1a9crn83zwq9p65ka5606uhtzrqj5lz228l8k3j	10,021.15			10,021.15
juno14q2g3s2ctw92g43nyytj5x2fqxuk8uh9hudg9n	10,021.02			10,021.02
juno12yck0ujtq7s4sxlpfq7x8sp0fxs96xmplz3793	0.00	osmo12yck0ujtq7s4sxlpfq7x8sp0fxs96xmpptp45l	10,021.00	10,021.00
juno180kh5m6gd3zf9mwm6qcrsyskke8qsyvapdlmld	10,021.00			10,021.00
juno1jtt2syvz5qs4zxwtqpspgxutqmapscdyu33jjw	10,021.00			10,021.00
juno1l70dlh0968nqprdu3yscpqcxwdu9kz97qajdkx	10,020.98			10,020.98
juno142cfsspww4cdt7kxkce034qlmt3wuv6ulpmxaw	10,020.00			10,020.00
juno14uvzj66g70fy9v69kzea6tlw5ngkt00c6n6u8d	10,020.00			10,020.00
juno1e66ndx6ltq3nxdz5gxk0fq49mqsx7frfjjkfnx	10,020.00			10,020.00
juno1jkjutsq0c7mxrcre4n69s3spyqxzsxn4me8tj2	10,020.00			10,020.00
juno17mmhl3d3rsmc7457gw30p20qgj3d36mgxse2jr	10,019.55			10,019.55
juno1rjf699kz55upwy8ggkgnl8r9rv3epavzcusqw8	10,019.29			10,019.29
juno1979jfkvguhnwhmz2a9yaqqsavtukw7m80pmw37	10,019.27			10,019.27
juno1une72km0f89v3jche3je8k9c6wdg903mld9xjw	10,019.20			10,019.20
juno15zn6lyu4cjkq4rzha2epksaau8gv9nmwg8aeuw	10,019.00			10,019.00
juno1ety0wsu6evpzxqhw0kxy46pu9y3eynx4634e4g	10,018.39			10,018.39
